ticker_id,IPO_date,ticker_type
3645,2011-10-05,上市
3653,2009-11-18,上市
3661,2014-10-28,上市
3665,2011-04-21,上市
3669,2011-08-25,上市
3673,2010-10-29,上市
3679,2011-10-05,上市
3682,2013-08-05,上市
3686,2010-07-20,上市
3694,2011-05-03,上市
3698,2011-09-29,上市
3701,2004-08-30,上市
3702,2005-11-09,上市
3703,2010-04-08,上市
3704,2010-08-16,上市
3705,2011-01-03,上市
3706,2013-09-12,上市
3708,2016-08-31,上市
3711,2018-04-30,上市
3712,2018-10-01,上市
4104,2007-12-31,上市
4106,2004-11-08,上市
4108,2008-07-16,上市
4119,2004-01-07,上市
4133,2009-12-28,上市
4137,2013-11-27,上市
4141,2012-04-25,上市
4142,2012-05-03,上市
4144,2011-10-05,上市
4148,2017-06-08,上市
4155,2017-12-05,上市
4164,2012-10-24,上市
4190,2015-10-21,上市
4306,2008-01-21,上市
4414,2004-09-06,上市
4426,2011-12-16,上市
4438,2016-10-18,上市
4439,2019-12-05,上市
4526,2003-09-15,上市
4532,2003-08-04,上市
4536,2013-10-09,上市
4540,2018-08-15,上市
4545,2016-01-06,上市
4551,2015-08-10,上市
4552,2016-07-20,上市
4555,2015-10-27,上市
4557,2015-10-12,上市
4560,2017-05-26,上市
4562,2017-08-21,上市
4564,2019-03-07,上市
4566,2018-02-05,上市
4571,2019-09-17,上市
4572,2019-09-10,上市
4576,2019-09-04,上市
4720,2015-06-24,上市
4722,2012-08-15,上市
4725,2007-10-02,上市
4737,2010-12-23,上市
4739,2017-09-08,上市
4746,2011-03-01,上市
4755,2013-11-27,上市
4763,2015-11-09,上市
4764,2018-01-04,上市
4766,2018-11-28,上市
4807,2017-06-26,上市
4904,2005-08-24,上市
4906,2003-06-30,上市
4912,2015-05-21,上市
4915,2012-10-05,上市
4916,2013-11-21,上市
4919,2010-09-27,上市
4927,2015-09-08,上市
4930,2010-06-21,上市
4934,2010-03-10,上市
4935,2011-07-28,上市
4938,2010-06-24,上市
4942,2011-06-27,上市
4943,2016-11-11,上市
4952,2011-11-01,上市
4956,2011-10-24,上市
4958,2011-12-26,上市
4960,2011-10-24,上市
4961,2018-10-17,上市
4967,2019-01-14,上市
4968,2015-11-13,上市
4976,2012-11-20,上市
4977,2013-11-20,上市
4989,2018-06-28,上市
4994,2013-12-25,上市
4999,2013-06-03,上市
5007,2011-09-16,上市
5203,2004-09-27,上市
5215,2011-12-26,上市
5225,2012-11-05,上市
5234,2012-07-16,上市
5243,2013-11-25,上市
5258,2016-12-30,上市
5259,2013-12-03,上市
5264,2013-01-25,上市
5269,2012-12-12,上市
5283,2019-05-24,上市
5284,2017-03-09,上市
5285,2014-02-25,上市
5288,2014-09-25,上市
5305,2004-07-19,上市
5388,2007-12-03,上市
5434,2003-08-25,上市
5469,2003-08-25,上市
5471,2003-08-25,上市
5484,2003-08-25,上市
5515,2003-10-06,上市
5519,2014-02-10,上市
5521,2012-12-18,上市
5522,2007-08-06,上市
5525,2004-11-26,上市
5531,2005-01-31,上市
5533,2008-04-30,上市
5534,2004-05-24,上市
5538,2013-12-16,上市
5607,2004-12-02,上市
5608,2003-08-25,上市
5706,2011-10-21,上市
5871,2011-12-13,上市
5876,2018-10-19,上市
5880,2011-12-01,上市
5906,2011-10-24,上市
5907,2012-06-06,上市
6005,2005-11-21,上市
6024,2017-10-16,上市
6108,2008-12-30,上市
6112,2003-08-04,上市
6115,2004-07-19,上市
6116,2004-09-06,上市
6117,2003-08-25,上市
6120,2006-09-13,上市
6128,2003-06-16,上市
6131,2004-09-27,上市
6133,2003-08-15,上市
6136,2003-08-25,上市
6139,2003-08-25,上市
6141,2003-10-22,上市
6142,2003-08-04,上市
6152,2009-12-08,上市
6153,2008-01-21,上市
6155,2006-08-18,上市
6164,2008-10-21,上市
6165,2003-08-04,上市
6166,2004-11-08,上市
6168,2003-08-25,上市
6172,2004-05-24,上市
6176,2007-05-15,上市
6177,2013-08-01,上市
6183,2011-12-01,上市
6184,2005-02-15,上市
6189,2004-05-24,上市
6191,2007-10-19,上市
6192,2004-09-27,上市
6196,2004-05-24,上市
6197,2004-11-08,上市
6201,2004-09-27,上市
6202,2004-09-27,上市
6205,2008-01-21,上市
6206,2004-08-03,上市
6209,2004-11-08,上市
6213,2008-01-21,上市
6214,2010-12-30,上市
6215,2007-12-31,上市
6216,2004-09-27,上市
6224,2009-09-17,上市
6225,2004-09-27,上市
