date,open,high,low,close,adj_close,volume,dividend,stock split
2011-04-12,60.8,60.8,59.85,60.05,48.25,14735.0,0.0,0
2011-04-13,59.9,60.4,59.75,60.4,48.53,9148.0,0.0,0
2011-04-14,60.45,60.7,60.05,60.35,48.49,5741.0,0.0,0
2011-04-15,60.4,60.45,59.6,59.65,47.93,3881.0,0.0,0
2011-04-18,59.75,59.95,59.45,59.55,47.85,5178.0,0.0,0
2011-04-19,59.35,59.35,58.8,59.2,47.57,14033.0,0.0,0
2011-04-20,59.5,60.35,59.5,60.3,48.45,11983.0,0.0,0
2011-04-21,60.95,61.8,60.95,61.7,49.58,34278.0,0.0,0
2011-04-22,61.8,61.8,61.45,61.6,49.5,22094.0,0.0,0
2011-04-25,61.9,62.0,61.25,61.45,49.38,26916.0,0.0,0
2011-04-26,60.9,61.35,60.7,61.2,49.18,23820.0,0.0,0
2011-04-27,61.75,62.25,61.75,62.15,49.94,46482.0,0.0,0
2011-04-28,62.25,62.5,62.0,62.15,49.94,30759.0,0.0,0
2011-04-29,62.0,62.4,61.65,62.0,49.82,50474.0,0.0,0
2011-05-03,62.2,62.3,61.5,62.15,49.94,26654.0,0.0,0
2011-05-04,61.6,61.8,61.1,61.8,49.66,19694.0,0.0,0
2011-05-05,61.4,62.35,61.3,62.25,50.02,22294.0,0.0,0
2011-05-06,61.9,62.05,61.65,61.95,49.78,24027.0,0.0,0
2011-05-09,62.1,62.6,61.9,62.3,50.06,15543.0,0.0,0
2011-05-10,62.3,62.3,62.05,62.3,50.06,8411.0,0.0,0
2011-05-11,62.5,62.5,61.95,62.05,49.86,9680.0,0.0,0
2011-05-12,61.7,62.4,61.55,62.25,50.02,17881.0,0.0,0
2011-05-13,62.25,62.25,61.9,62.05,49.86,7617.0,0.0,0
2011-05-16,61.95,61.95,61.25,61.3,49.26,16431.0,0.0,0
2011-05-17,61.2,61.45,60.95,61.25,49.22,16725.0,0.0,0
2011-05-18,61.2,61.6,61.15,61.6,49.5,5855.0,0.0,0
2011-05-19,61.6,62.1,61.05,61.05,49.06,17125.0,0.0,0
2011-05-20,61.25,61.5,60.9,61.1,49.1,15242.0,0.0,0
2011-05-23,60.8,60.8,60.0,60.35,48.49,38552.0,0.0,0
2011-05-24,60.3,60.45,60.05,60.45,48.57,26077.0,0.0,0
2011-05-25,60.1,60.4,59.8,60.25,48.41,22768.0,0.0,0
2011-05-26,60.35,60.85,60.2,60.85,48.9,7248.0,0.0,0
